run,candidate_idx,candidate_name,duration_ns,cpu_cycles,system
103,1,Trey,2777400,27777,secure
103,2,Will,2605500,26060,secure
103,3,George,3070700,30711,secure
103,4,Jess,3232900,32333,secure
104,0,Marcus,2459200,24596,secure
104,1,Trey,3532300,36079,secure
104,2,Will,2558600,25592,secure
104,3,George,3493000,36199,secure
104,4,Jess,2464900,24654,secure
105,0,Marcus,2489100,24896,secure
105,1,Trey,2572300,25727,secure
105,2,Will,3623900,36242,secure
105,3,George,3844900,38453,secure
105,4,Jess,2561700,25621,secure
106,0,Marcus,2907000,29075,secure
106,1,Trey,2340500,23409,secure
106,2,Will,2885900,28864,secure
106,3,George,2734100,27345,secure
106,4,Jess,3329500,33299,secure
107,0,Marcus,2696100,26966,secure
107,1,Trey,3304400,33048,secure
107,2,Will,2807900,28085,secure
107,3,George,2772300,27727,secure
107,4,Jess,2659900,26603,secure
108,0,Marcus,2789500,27901,secure
108,1,Trey,2427900,24283,secure
108,2,Will,2804000,28045,secure
108,3,George,3146800,31473,secure
108,4,Jess,3605300,36058,secure
109,0,Marcus,2903400,29039,secure
109,1,Trey,2339500,23399,secure
109,2,Will,2875200,28757,secure
109,3,George,2571500,25721,secure
109,4,Jess,2954100,29544,secure
110,0,Marcus,2328800,23293,secure
110,1,Trey,2971500,29719,secure
110,2,Will,3105200,31059,secure
110,3,George,2533700,25341,secure
110,4,Jess,2690200,26905,secure
111,0,Marcus,3306200,33184,secure
111,1,Trey,2743100,27437,secure
111,2,Will,2799600,28000,secure
111,3,George,2393800,23942,secure
111,4,Jess,2430600,24311,secure
112,0,Marcus,2902100,29025,secure
112,1,Trey,2675200,26758,secure
112,2,Will,2575700,25762,secure
112,3,George,2371300,23718,secure
112,4,Jess,2915900,29163,secure
113,0,Marcus,2793000,27935,secure
113,1,Trey,2709700,27102,secure
113,2,Will,2270300,22707,secure
113,3,George,2488600,24890,secure
113,4,Jess,2686000,26864,secure
114,0,Marcus,3667800,36683,secure
114,1,Trey,2536300,25369,secure
114,2,Will,4089100,40896,secure
114,3,George,2774100,27744,secure
114,4,Jess,2311700,23121,secure
115,0,Marcus,4126400,41268,secure
115,1,Trey,2762600,27630,secure
115,2,Will,2846700,28471,secure
115,3,George,3297900,32983,secure
115,4,Jess,2344900,23453,secure
116,0,Marcus,4162200,41627,secure
116,1,Trey,3018600,30190,secure
116,2,Will,2692700,26930,secure
116,3,George,4147100,41475,secure
116,4,Jess,3118900,31194,secure
117,0,Marcus,2472500,24729,secure
117,1,Trey,2746000,27465,secure
117,2,Will,2681300,26818,secure
117,3,George,2653800,26543,secure
117,4,Jess,3158600,31590,secure
118,0,Marcus,4004900,40051,secure
118,1,Trey,3332600,33331,secure
118,2,Will,3842300,38428,secure
118,3,George,3431300,34318,secure
118,4,Jess,3239600,32401,secure
119,0,Marcus,2938000,29977,secure
119,1,Trey,3301500,33021,secure
119,2,Will,3640700,36411,secure
119,3,George,2679100,26795,secure
119,4,Jess,2282100,22825,secure
120,0,Marcus,2647700,26482,secure
120,1,Trey,2582500,25830,secure
120,2,Will,2976000,29765,secure
120,3,George,2687200,26877,secure
120,4,Jess,2498900,24994,secure
121,0,Marcus,4567000,45748,secure
121,1,Trey,3513400,35139,secure
121,2,Will,2622400,26229,secure
121,3,George,2898400,28989,secure
121,4,Jess,2592700,25931,secure
122,0,Marcus,2847700,28482,secure
122,1,Trey,2628000,26285,secure
122,2,Will,2705800,27063,secure
122,3,George,2584400,25848,secure
122,4,Jess,2930300,29309,secure
123,0,Marcus,3081900,30823,secure
123,1,Trey,2650000,26505,secure
123,2,Will,2794700,27952,secure
123,3,George,3128700,31292,secure
123,4,Jess,2728600,27291,secure
124,0,Marcus,2978200,29787,secure
124,1,Trey,2430500,24309,secure
124,2,Will,3127500,31279,secure
124,3,George,2990000,29905,secure
124,4,Jess,3068100,30686,secure
125,0,Marcus,2905000,29054,secure
125,1,Trey,3327000,33274,secure
125,2,Will,3283400,32838,secure
125,3,George,3027700,30281,secure
125,4,Jess,2946500,29470,secure
126,0,Marcus,2527000,25274,secure
126,1,Trey,3281200,32816,secure
126,2,Will,3253900,32544,secure
126,3,George,3782200,37825,secure
126,4,Jess,2969400,29699,secure
127,0,Marcus,2484200,24848,secure
127,1,Trey,2548500,25490,secure
127,2,Will,2555800,25562,secure
127,3,George,2613700,26143,secure
127,4,Jess,2429200,24295,secure
128,0,Marcus,4610200,46107,secure
128,1,Trey,4572500,45730,secure
128,2,Will,2950900,29513,secure
128,3,George,2676900,26774,secure
128,4,Jess,3033600,30340,secure
129,0,Marcus,2556800,25572,secure
129,1,Trey,3154000,31544,secure
129,2,Will,2597800,25982,secure
129,3,George,2517000,25174,secure
129,4,Jess,3112000,31124,secure
130,0,Marcus,2374400,23748,secure
130,1,Trey,3904400,39048,secure
130,2,Will,2392400,23928,secure
130,3,George,3335100,33357,secure
130,4,Jess,2857000,28574,secure
131,0,Marcus,3302500,33028,secure
131,1,Trey,3176800,31773,secure
131,2,Will,2475400,24758,secure
131,3,George,2343100,23435,secure
131,4,Jess,2490600,24910,secure
132,0,Marcus,2696400,26969,secure
132,1,Trey,2514700,25151,secure
132,2,Will,2575000,25755,secure
132,3,George,2883100,28835,secure
132,4,Jess,2508500,25089,secure
133,0,Marcus,2377800,23782,secure
133,1,Trey,2526600,25270,secure
133,2,Will,2639300,26397,secure
133,3,George,2585500,25860,secure
133,4,Jess,2473300,24739,secure
134,0,Marcus,3811400,38118,secure
134,1,Trey,2293500,22938,secure
134,2,Will,2414900,24152,secure
134,3,George,2536700,25372,secure
134,4,Jess,3643300,36438,secure
135,0,Marcus,3223300,32237,secure
135,1,Trey,4368900,43693,secure
135,2,Will,3726500,37270,secure
135,3,George,2617700,26181,secure
135,4,Jess,2932100,29325,secure
136,0,Marcus,3205200,32057,secure
136,1,Trey,2632800,26332,secure
136,2,Will,3355300,33558,secure
136,3,George,4067100,40675,secure
136,4,Jess,3970600,39711,secure
137,0,Marcus,3518700,35192,secure
137,1,Trey,3642600,36431,secure
137,2,Will,2979300,29799,secure
137,3,George,3210700,32111,secure
137,4,Jess,3041700,30421,secure
138,0,Marcus,2377600,23780,secure
138,1,Trey,2548000,25485,secure
138,2,Will,2565300,25657,secure
138,3,George,2644000,26446,secure
138,4,Jess,2691300,26918,secure
139,0,Marcus,3291100,32939,secure
139,1,Trey,2718100,27186,secure
139,2,Will,2774600,27750,secure
139,3,George,2827600,28280,secure
139,4,Jess,2438100,24385,secure
140,0,Marcus,2605700,26061,secure
140,1,Trey,2900800,29012,secure
140,2,Will,3051600,30520,secure
140,3,George,2555000,25554,secure
140,4,Jess,2607400,26078,secure
141,0,Marcus,2797200,27978,secure
141,1,Trey,3125200,31256,secure
