run,candidate_idx,candidate_name,duration_ns,cpu_cycles,heap_allocs,heap_bytes,system
47,4,Jess,2260700,22609,77,29824,sequential
48,0,Marcus,2726700,27269,77,29824,sequential
48,1,Trey,2434900,24353,77,29824,sequential
48,2,Will,2508000,25083,77,29824,sequential
48,3,George,2556500,25571,77,29824,sequential
48,4,Jess,2841900,28424,77,29824,sequential
49,0,Marcus,2562800,25634,77,29824,sequential
49,1,Trey,2503200,25036,77,29824,sequential
49,2,Will,2618900,26193,77,29824,sequential
49,3,George,2625300,26256,77,29824,sequential
49,4,Jess,2710400,27108,77,29824,sequential
50,0,Marcus,2623100,26236,77,29824,sequential
50,1,Trey,2486500,24870,77,29824,sequential
50,2,Will,2586600,25871,77,29824,sequential
50,3,George,2306100,23065,77,29824,sequential
50,4,Jess,2552500,25530,77,29824,sequential
51,0,Marcus,2364800,23651,77,29824,sequential
51,1,Trey,2290000,22903,77,29824,sequential
51,2,Will,2577000,25775,77,29824,sequential
51,3,George,2299700,22999,77,29824,sequential
51,4,Jess,2699000,26993,77,29824,sequential
52,0,Marcus,2696100,26965,77,29824,sequential
52,1,Trey,2623700,26242,77,29824,sequential
52,2,Will,2416900,24174,77,29824,sequential
52,3,George,2359400,23598,77,29824,sequential
52,4,Jess,2836400,28367,77,29824,sequential
53,0,Marcus,2412600,24130,77,29824,sequential
53,1,Trey,2486000,24864,77,29824,sequential
53,2,Will,2445800,24463,77,29824,sequential
53,3,George,2290300,22908,77,29824,sequential
53,4,Jess,2992100,29926,77,29824,sequential
54,0,Marcus,2772400,27729,77,29824,sequential
54,1,Trey,2348100,23487,77,29824,sequential
54,2,Will,2363400,23638,77,29824,sequential
54,3,George,2539700,25401,77,29824,sequential
54,4,Jess,3487800,34883,77,29824,sequential
55,0,Marcus,2751900,27523,77,29824,sequential
55,1,Trey,2728300,27286,77,29824,sequential
55,2,Will,2636900,26375,77,29824,sequential
55,3,George,2501600,25020,77,29824,sequential
55,4,Jess,2713600,27140,77,29824,sequential
56,0,Marcus,2444800,24453,77,29824,sequential
56,1,Trey,2611800,26122,77,29824,sequential
56,2,Will,2334100,23345,77,29824,sequential
56,3,George,2479600,24802,77,29824,sequential
56,4,Jess,2638200,26386,77,29824,sequential
57,0,Marcus,2335400,23358,77,29824,sequential
57,1,Trey,2289800,22901,77,29824,sequential
57,2,Will,2617900,26182,77,29824,sequential
57,3,George,2287500,22879,77,29824,sequential
57,4,Jess,2573800,25742,77,29824,sequential
58,0,Marcus,2654700,26549,77,29824,sequential
58,1,Trey,2657900,26582,77,29824,sequential
58,2,Will,2664600,26650,77,29824,sequential
58,3,George,2558300,25587,77,29824,sequential
58,4,Jess,2711300,27117,77,29824,sequential
59,0,Marcus,2650500,26509,77,29824,sequential
59,1,Trey,3112600,31130,77,29824,sequential
59,2,Will,2421100,24214,77,29824,sequential
59,3,George,2412900,24133,77,29824,sequential
59,4,Jess,2334500,23349,77,29824,sequential
60,0,Marcus,2256400,22568,77,29824,sequential
60,1,Trey,2379300,23797,77,29824,sequential
60,2,Will,2318700,23190,77,29824,sequential
60,3,George,2317100,23175,77,29824,sequential
60,4,Jess,3070400,30707,77,29824,sequential
61,0,Marcus,2339600,23399,77,29824,sequential
61,1,Trey,2257900,22583,77,29824,sequential
61,2,Will,2393600,23938,77,29824,sequential
61,3,George,2389000,23895,77,29824,sequential
61,4,Jess,2313300,23137,77,29824,sequential
62,0,Marcus,2328300,23286,77,29824,sequential
62,1,Trey,2495700,24961,77,29824,sequential
62,2,Will,2370700,23711,77,29824,sequential
62,3,George,2498500,24990,77,29824,sequential
62,4,Jess,2325000,23255,77,29824,sequential
63,0,Marcus,2403000,24035,77,29824,sequential
63,1,Trey,2341100,23415,77,29824,sequential
63,2,Will,2333700,23341,77,29824,sequential
63,3,George,2765800,27663,79,32136,sequential
63,4,Jess,2421200,24215,77,29824,sequential
64,0,Marcus,2300100,23005,77,29824,sequential
64,1,Trey,2506900,25074,77,29824,sequential
64,2,Will,2660800,26613,77,29824,sequential
64,3,George,2299500,23000,77,29824,sequential
64,4,Jess,2379300,23797,77,29824,sequential
65,0,Marcus,2445300,24459,77,29824,sequential
65,1,Trey,2466400,24668,77,29824,sequential
65,2,Will,2553800,25542,77,29824,sequential
65,3,George,2365800,23663,77,29824,sequential
65,4,Jess,2315600,23160,77,29824,sequential
66,0,Marcus,2332700,23332,77,29824,sequential
66,1,Trey,2319400,23197,77,29824,sequential
66,2,Will,2346200,23466,77,29824,sequential
66,3,George,2383700,23842,77,29824,sequential
66,4,Jess,2598100,25987,77,29824,sequential
67,0,Marcus,2299800,23001,77,29824,sequential
67,1,Trey,2465600,24660,77,29824,sequential
67,2,Will,2433200,24335,77,29824,sequential
67,3,George,2433800,24342,77,29824,sequential
67,4,Jess,2313100,23135,77,29824,sequential
68,0,Marcus,2313200,23135,77,29824,sequential
68,1,Trey,2475900,24763,77,29824,sequential
68,2,Will,2329700,23302,77,29824,sequential
68,3,George,2345800,23462,77,29824,sequential
68,4,Jess,2284200,22846,77,29824,sequential
69,0,Marcus,2495700,24960,77,29824,sequential
69,1,Trey,2593800,25942,77,29824,sequential
69,2,Will,2315900,23163,77,29824,sequential
69,3,George,2344900,23452,77,29824,sequential
69,4,Jess,2270900,22714,77,29824,sequential
70,0,Marcus,2441300,24417,77,29824,sequential
70,1,Trey,2302400,23028,77,29824,sequential
70,2,Will,2389200,23896,77,29824,sequential
70,3,George,2354200,23546,77,29824,sequential
70,4,Jess,2452700,24531,77,29824,sequential
71,0,Marcus,2365400,23658,77,29824,sequential
71,1,Trey,2431200,24315,77,29824,sequential
71,2,Will,2356900,23574,77,29824,sequential
71,3,George,2367200,23676,77,29824,sequential
71,4,Jess,2282400,22828,77,29824,sequential
72,0,Marcus,2312700,23131,77,29824,sequential
72,1,Trey,2591300,25918,77,29824,sequential
72,2,Will,2339700,23400,77,29824,sequential
72,3,George,2590500,25910,77,29824,sequential
72,4,Jess,2278600,22789,77,29824,sequential
73,0,Marcus,2330100,23303,77,29824,sequential
73,1,Trey,2342600,23429,77,29824,sequential
73,2,Will,2342400,23427,77,29824,sequential
73,3,George,2274600,22748,77,29824,sequential
73,4,Jess,2355500,23557,77,29824,sequential
74,0,Marcus,2289900,22903,77,29824,sequential
74,1,Trey,2323200,23236,77,29824,sequential
74,2,Will,2433100,24336,77,29824,sequential
74,3,George,2254000,22544,77,29824,sequential
74,4,Jess,2358300,23586,77,29824,sequential
75,0,Marcus,2440200,24405,77,29824,sequential
75,1,Trey,2452200,24525,77,29824,sequential
75,2,Will,2274100,22745,77,29824,sequential
75,3,George,2291800,22922,77,29824,sequential
75,4,Jess,2437600,24380,77,29824,sequential
76,0,Marcus,2300000,23005,77,29824,sequential
76,1,Trey,2366600,23669,77,29824,sequential
76,2,Will,2771000,27714,77,29824,sequential
76,3,George,2414800,24152,77,29824,sequential
76,4,Jess,2329300,23297,77,29824,sequential
77,0,Marcus,3138700,31390,77,29824,sequential
77,1,Trey,2786000,27863,77,29824,sequential
77,2,Will,2434900,24353,77,29824,sequential
77,3,George,3500500,35009,77,29824,sequential
77,4,Jess,2480000,24804,77,29824,sequential
78,0,Marcus,2522300,25228,77,29824,sequential
78,1,Trey,2438600,24391,77,29824,sequential
78,2,Will,2322900,23231,77,29824,sequential
78,3,George,2597900,25983,77,29824,sequential
78,4,Jess,2368700,23692,77,29824,sequential
79,0,Marcus,2378100,23784,77,29824,sequential
79,1,Trey,2308000,23083,77,29824,sequential
79,2,Will,2322400,23229,77,29824,sequential
79,3,George,2288800,22892,77,29824,sequential
79,4,Jess,2287700,22881,77,29824,sequential
80,0,Marcus,2365600,23660,77,29824,sequential
80,1,Trey,2438000,24383,77,29824,sequential
80,2,Will,2320400,23207,77,29824,sequential
80,3,George,2320100,23204,77,29824,sequential
80,4,Jess,2373500,23739,77,29824,sequential
81,0,Marcus,2259100,22595,77,29824,sequential
81,1,Trey,2454400,24547,77,29824,sequential
81,2,Will,2346300,23466,77,29824,sequential
81,3,George,2374300,23747,77,29824,sequential
81,4,Jess,2629200,26297,77,29824,sequential
